chapterId,chapterIndex,chapterDifficulty,file_Monster,chapterName,info,staminaCost,chapterBG_1,chapterBG_0,chapterIntensity,randomMe,chapterReward,chapterRest,chapterMonster,chapterMonsterElite,chapterRelic,chapterBlackMarket,chapterAdvanture,levelMonsterNum,levelMonsterNum1,levelMonsterNum2,levelMonsterNum3,levelMonsterNum4,levelMonsterNum5,levelMonsterNum6,levelMonsterNum7,levelMonsterDice,levelMonsterDice1,levelMonsterDice2,levelMonsterDice3,levelMonsterDice4,levelMonsterDice5,levelMonsterDice6,levelMonsterDice7,,,,
章节ID,章节序号,章节难度,怪物文件名,章节名字,介绍,消耗体力,章节已解锁,章节未解锁,章节标准强度,随机精英怪物,章节奖励,章节休整,章节怪物,章节精英,章节遗迹,章节黑市,章节奇遇,关卡怪物数,,,,,,,,关卡怪物骰子,,,,,,,,,,,
"string",int,int,"string","string","string",int,"string","string",float,float,List<string>,List<int>,List<int>,List<int>,List<int>,List<int>,List<int>,List<int>,,,,,,,,"Dict<int, List<string>>",,,,,,,,,,,
Assets/Resources/Chapter/Normal,SO_Chapter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter00101,1,1,Monster0101,岩断巨峰,章节1,5,Chapter001/BG-Chapter-1,Chapter001/BG-Chapter-0,1,0.05%,,"1,1,1,1,1,0","2,3,4,5,6,7","0,1,1,1,1,1","0,0,1,0,0,0","0,1,0,1,0,0","0,1,0,0,1,0",<,"1,1,2","2,1,3,2,2,2,3,3","2,2,3,4","2,2,3,4,5","2,2,3,4,4,5","2,2,3,4,4,5,5",>,<,"D001,D002,D003","D001,D002,D003","D001,D002,D003","D001,D002,D003","D001,D002,D003","D001,D002,D003",>,,,,
Chapter00102,2,1,Monster0201,血焰溶洞,章节2,5,Chapter002/BG-Chapter-1,Chapter002/BG-Chapter-0,1.2,0.05%,,"1,1,1,1,1,0","2,3,4,5,6,7","0,1,1,1,1,1","0,0,1,0,0,0","0,1,0,1,0,0","0,1,0,0,1,0",<,"1,2","2,1,3,2,2,2","2,2,3,4","2,2,3,4,5","2,2,3,4,4,5","2,2,3,4,4,5,5",>,<,"D001,D002,D003","D001,D002,D003","D001,D002,D003","D001,D002,D003","D001,D002,D003","D001,D002,D003",>,,,,
Chapter00103,3,1,Monster0301,冰刃荒原,章节3,5,Chapter003/BG-Chapter-1,Chapter003/BG-Chapter-0,1,0.05%,,"1,1,1,1,1,0","2,3,4,5,6,7","0,1,1,1,1,1","0,0,1,0,0,0","0,1,0,1,0,0","0,1,0,0,1,0",<,"1,2","2,1,3,2,2,2","2,2,3,4","2,2,3,4,5","2,2,3,4,4,5","2,2,3,4,4,5,5",>,<,"D001,D002,D003","D001,D002,D003","D001,D002,D003","D001,D002,D003","D001,D002,D003","D001,D002,D003",>,,,,
Assets/Resources/Chapter/Hard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter00201,1,2,Monster0102,岩断巨峰·混乱,章节1·困难,6,Chapter001/BG-Chapter-1,Chapter001/BG-Chapter-0,1.3,0.1%,,"1,1,1,1,1,0","2,3,4,5,6,7","0,1,1,1,1,1","0,0,1,0,0,0","0,1,0,1,0,0","0,1,0,0,1,0",<,"1,2","2,1,3,2,2,2","2,2,3,4","2,2,3,4,5","2,2,3,4,4,5","2,2,3,4,4,5,5",>,<,"D001,D002,D003","D001,D002,D003","D001,D002,D003","D001,D002,D003","D001,D002,D003","D001,D002,D003",>,,,,
Chapter00202,2,2,Monster0202,血焰溶洞·混乱,章节2·困难,6,Chapter002/BG-Chapter-1,Chapter002/BG-Chapter-0,1.3,0.1%,,"1,1,1,1,1,0","2,3,4,5,6,7","0,1,1,1,1,1","0,0,1,0,0,0","0,1,0,1,0,0","0,1,0,0,1,0",<,"1,2","2,1,3,2,2,2","2,2,3,4","2,2,3,4,5","2,2,3,4,4,5","2,2,3,4,4,5,5",>,<,"D001,D002,D003","D001,D002,D003","D001,D002,D003","D001,D002,D003","D001,D002,D003","D001,D002,D003",>,,,,
Chapter00203,2,3,Monster0203,血焰溶洞·恐怖,章节2·地狱,7,Chapter003/BG-Chapter-1,Chapter003/BG-Chapter-0,2,0.25%,,"1,1,1,1,1,0","2,3,4,5,6,7","0,1,1,1,1,1","0,0,1,0,0,0","0,1,0,1,0,0","0,1,0,0,1,0",<,"1,2","2,1,3,2,2,2","2,2,3,4","2,2,3,4,5","2,2,3,4,4,5","2,2,3,4,4,5,5",>,<,"D001,D002,D003","D001,D002,D003","D001,D002,D003","D001,D002,D003","D001,D002,D003","D001,D002,D003",>,,,,
Assets/Resources/Chapter/Hell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter00301,1,3,Monster0103,岩断巨峰·恐怖,章节1·地狱,7,Chapter001/BG-Chapter-1,Chapter001/BG-Chapter-0,2,0.25%,,"1,1,1,1,1,0","2,3,4,5,6,7","0,1,1,1,1,1","0,0,1,0,0,0","0,1,0,1,0,0","0,1,0,0,1,0",<,"1,2","2,1,3,2,2,2","2,2,3,4","2,2,3,4,5","2,2,3,4,4,5","2,2,3,4,4,5,5",>,<,"D001,D002,D003","D001,D002,D003","D001,D002,D003","D001,D002,D003","D001,D002,D003","D001,D002,D003",>,,,,
Chapter00302,3,2,Monster0302,冰刃荒原·混乱,章节3·困难,6,Chapter002/BG-Chapter-1,Chapter002/BG-Chapter-0,1.3,0.1%,,"1,1,1,1,1,0","2,3,4,5,6,7","0,1,1,1,1,1","0,0,1,0,0,0","0,1,0,1,0,0","0,1,0,0,1,0",<,"1,2","2,1,3,2,2,2","2,2,3,4","2,2,3,4,5","2,2,3,4,4,5","2,2,3,4,4,5,5",>,<,"D001,D002,D003","D001,D002,D003","D001,D002,D003","D001,D002,D003","D001,D002,D003","D001,D002,D003",>,,,,
Chapter00303,3,3,Monster0303,冰刃荒原·恐怖,章节3·地狱,7,Chapter003/BG-Chapter-1,Chapter003/BG-Chapter-0,2,0.25%,,"1,1,1,1,1,0","2,3,4,5,6,7","0,1,1,1,1,1","0,0,1,0,0,0","0,1,0,1,0,0","0,1,0,0,1,0",<,"1,2","2,1,3,2,2,2","2,2,3,4","2,2,3,4,5","2,2,3,4,4,5","2,2,3,4,4,5,5",>,<,"D001,D002,D003","D001,D002,D003","D001,D002,D003","D001,D002,D003","D001,D002,D003","D001,D002,D003",>,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
